city,state,population,latitude,longitude,toy store (20),child toy store (20),toy store (20-w/ coords radius),"children’s clothing store (20-w/ coords, radius)","children’s clothing store (20-w/ coords, rankby)"
vega baja,PR,29326,18.4463889,-66.3880556,,,X,X,X
westborough,MA,29313,42.2694444,-71.6166667,,,X,X,X
mount vernon,WA,29312,48.4213889,-122.3327778,,,X,X,X
alton,IL,29251,38.8905556,-90.1841667,,,X,X,X
raytown,MO,29219,39.0086111,-94.4633333,,,X,X,X
garfield heights,OH,29218,41.4169444,-81.6061111,,,X,X,X
bowling green,OH,29215,41.3747222,-83.6513889,,,X,X,X
lancaster,TX,29201,32.5919444,-96.7558333,,,X,X,X
mehlville,MO,29175,38.5083333,-90.3227778,,,X,X,X
cooper city,FL,29172,26.0569444,-80.2719444,,,X,X,X
wenatchee,WA,29159,47.4236111,-120.3091667,,,X,X,X
needham,MA,29125,42.2833333,-71.2333333,,,X,X,X
lindenhurst,NY,29081,40.6866667,-73.3738889,,,X,X,X
drexel hill,PA,29075,39.9469444,-75.2925,,,X,X,X
milford mill,MD,29074,39.3477778,-76.7702778,,,X,X,X
menlo park,CA,29071,37.4538889,-122.1811111,,,X,X,X
laplace,LA,29064,30.0663889,-90.48,,,X,X,X
dover,NH,29061,43.1977778,-70.8741667,,,X,X,X
oviedo,FL,29056,28.6697222,-81.2083333,,,X,X,X
liberty,MO,29027,39.2461111,-94.4188889,,,X,X,X
garden city,MI,29023,42.3255556,-83.3311111,,,X,X,X
santa paula,CA,29015,34.3541667,-119.0583333,,,X,X,X
round lake beach,IL,29011,42.3716667,-88.09,,,X,X,X
east haven,CT,29006,41.2761111,-72.8688889,,,X,X,X
fair oaks,CA,28989,38.6447222,-121.2711111,,,X,X,X
cleburne,TX,28981,32.3475,-97.3863889,,,X,X,X
maywood,CA,28965,33.9866667,-118.1844444,,,X,X,X
oildale,CA,28962,35.4197222,-119.0186111,,,X,X,X
morgantown,WV,28957,39.6294444,-79.9561111,,,X,X,X
saratoga,CA,28956,37.2638889,-122.0219444,,,X,X,X
north royalton,OH,28920,41.3136111,-81.7247222,,,X,X,X
west islip,NY,28911,40.7061111,-73.3066667,,,X,X,X
inkster,MI,28844,42.2941667,-83.31,,,X,X,X
dracut,MA,28831,42.6702778,-71.3025,,,X,X,X
dania beach,FL,28826,26.0519444,-80.1441667,,,X,X,X
mililani town,HI,28812,21.45,-158.0011111,,,X,X,X
harvey,IL,28812,41.61,-87.6466667,,,X,X,X
valparaiso,IN,28787,41.4730556,-87.0611111,,,X,X,X
deer park,TX,28772,29.705,-95.1236111,,,X,X,X
agawam,MA,28761,42.0694444,-72.6152778,,,X,X,X
kearney,NE,28758,40.6994444,-99.0811111,,,X,X,X
west springfield,VA,28758,38.7725,-77.2213889,,,X,X,X
elkridge,MD,28734,39.2125,-76.7138889,,,X,X,X
cookeville,TN,28668,36.1627778,-85.5016667,,,X,X,X
des moines,WA,28668,47.4019444,-122.3230556,,,X,X,X
oak park,MI,28644,42.4594444,-83.1827778,,,X,X,X
socorro,TX,28637,31.6544444,-106.3027778,,,X,X,X
milford,MA,28631,42.1397222,-71.5166667,,,X,X,X
bessemer,AL,28628,33.4016667,-86.9544444,,,X,X,X
norwood,MA,28625,42.1944444,-71.2,,,X,X,X
ocoee,FL,28570,28.5688889,-81.5441667,,,X,X,X
lake in the hills,IL,28541,42.1816667,-88.3302778,,,X,X,X
burleson,TX,28534,32.5419444,-97.3205556,,,X,X,X
foster city,CA,28532,37.5586111,-122.27,,,X,X,X
winter park,FL,28530,28.5997222,-81.3394444,,,X,X,X
wylie,TX,28505,33.015,-96.5386111,,,X,X,X
jefferson,VA,28487,38.8644444,-77.1880556,,,X,X,X
newburgh,NY,28476,41.5033333,-74.0108333,,,X,X,X
jeffersonville,IN,28465,38.2775,-85.7372222,,,X,X,X
kennesaw,GA,28439,34.0233333,-84.6155556,,,X,X,X
phenix city,AL,28427,32.4708333,-85.0008333,,,X,X,X
clearfield,UT,28424,41.1108333,-112.0252778,,,X,X,X
schertz,TX,28417,29.5519444,-98.2694444,,,X,X,X
holbrook,NY,28407,40.8122222,-73.0788889,,,X,X,X
kent,OH,28387,41.1536111,-81.3580556,,,X,X,X
goleta,CA,28351,34.4358333,-119.8266667,,,X,X,X
rancho san diego,CA,28267,32.7472222,-116.9344444,,,X,X,X
prattville,AL,28265,32.4638889,-86.4597222,,,X,X,X
north andover,MA,28222,42.6986111,-71.1355556,,,X,X,X
batavia,IL,28175,41.85,-88.3125,,,X,X,X
university park,FL,28168,28.5666667,-81.2083333,,,X,X,X
palm city,FL,28165,27.1675,-80.2663889,,,X,X,X
allen park,MI,28157,42.2575,-83.2111111,,,X,X,X
oakdale,MN,28143,44.9630556,-92.9647222,,,X,X,X
soledad,CA,28140,36.4247222,-121.3252778,,,X,X,X
oak forest,IL,28122,41.6027778,-87.7438889,,,X,X,X
catano,PR,28094,18.4433333,-66.1186111,,,X,X,X
hinesville,GA,28066,31.8466667,-81.5961111,,,X,X,X
west memphis,AR,28065,35.1463889,-90.1844444,,,X,X,X
watertown,NY,28055,43.9747222,-75.9111111,,,X,X,X
cottonwood heights,UT,28021,40.6197222,-111.8094444,,,X,X,X
burbank,IL,28020,41.7338889,-87.7794444,,,X,X,X
hobbs,NM,28013,32.7025,-103.1355556,,,X,X,X
hobart,IN,28008,41.5322222,-87.255,,,X,X,X
port chester,NY,27990,41.0016667,-73.6661111,,,X,X,X
saratoga springs,NY,27989,43.0830556,-73.785,,,X,X,X
winter haven,FL,27938,28.0219444,-81.7330556,,,X,X,X
west springfield,MA,27912,42.1069444,-72.6208333,,,X,X,X
aventura,FL,27892,25.9561111,-80.1394444,,,X,X,X
auburn,NY,27873,42.9316667,-76.5663889,,,X,X,X
livingston,NJ,27853,40.7958333,-74.3152778,,,X,X,X
deer park,NY,27853,40.7616667,-73.3297222,,,X,X,X
ferry pass,FL,27810,30.51,-87.2125,,,X,X,X
mason city,IA,27802,43.1536111,-93.2008333,,,X,X,X
slidell,LA,27799,30.275,-89.7811111,,,X,X,X
shaker heights,OH,27755,41.4738889,-81.5372222,,,X,X,X
olive branch,MS,27748,34.9616667,-89.8294444,,,X,X,X
brooklyn center,MN,27718,45.0761111,-93.3325,,,X,X,X
scarborough,ME,27706,43.5780556,-70.3222222,,,X,X,X
duxbury,MA,27695,42.0416667,-70.6727778,,,X,X,X
palm valley,FL,27680,30.1772222,-81.3877778,,,X,X,X
lansing,IL,27667,41.5647222,-87.5388889,,,X,X,X
hopkinsville,KY,27656,36.8655556,-87.4886111,,,X,X,X
shoreview,MN,27622,45.0791667,-93.1469444,,,X,X,X
gladstone,MO,27601,39.2038889,-94.5544444,,,X,X,X
nutley,NJ,27572,40.8222222,-74.1602778,,,X,X,X
los gatos,CA,27551,37.2266667,-121.9736111,,,X,X,X
prichard,AL,27505,30.7386111,-88.0788889,,,X,X,X
henderson,KY,27495,37.8361111,-87.59,,,X,X,X
owings mills,MD,27415,39.4194444,-76.7805556,,,X,X,X
oak ridge,TN,27414,36.0102778,-84.2697222,,,X,X,X
millville,NJ,27390,39.4019444,-75.0397222,,,X,X,X
medina,OH,27358,41.1383333,-81.8638889,,,X,X,X
norco,CA,27346,33.9311111,-117.5477778,,,X,X,X
helena,MT,27340,46.5927778,-112.0352778,,,X,X,X
centereach,NY,27338,40.8583333,-73.1,,,X,X,X
orangevale,CA,27318,38.6786111,-121.2247222,,,X,X,X
atascadero,CA,27308,35.4894444,-120.6697222,,,X,X,X
smithtown,NY,27300,40.8558333,-73.2011111,,,X,X,X
clinton,IA,27294,41.8444444,-90.1886111,,,X,X,X
glen ellyn,IL,27276,41.8775,-88.0669444,,,X,X,X
midvale,UT,27264,40.6111111,-111.8991667,,,X,X,X
waldorf,MD,27254,38.6244444,-76.9394444,,,X,X,X
aiken,SC,27237,33.5602778,-81.7197222,,,X,X,X
suisun city,CA,27219,38.2383333,-122.0391667,,,X,X,X
sanford,ME,27201,43.4391667,-70.7747222,,,X,X,X
trotwood,OH,27197,39.7972222,-84.3113889,,,X,X,X
martinez,GA,27195,33.5172222,-82.0758333,,,X,X,X
grants pass,OR,27191,42.4391667,-123.3272222,,,X,X,X
schererville,IN,27157,41.4788889,-87.4547222,,,X,X,X
superior,WI,27130,46.7208333,-92.1038889,,,X,X,X
lake jackson,TX,27127,29.0336111,-95.4341667,,,X,X,X
kirkwood,MO,27126,38.5833333,-90.4066667,,,X,X,X
wethersfield,CT,27104,41.7141667,-72.6530556,,,X,X,X
barberton,OH,27099,41.0127778,-81.6052778,,,X,X,X
savage,MN,27096,44.7791667,-93.3361111,,,X,X,X
imperial beach,CA,27091,32.5838889,-117.1122222,,,X,X,X
frankfort,KY,27051,38.2008333,-84.8733333,,,X,X,X
paris,TX,27022,33.6608333,-95.5552778,,,X,X,X
back mountain,PA,26973,41.3358333,-75.9966667,,,X,X,X
west milford,NJ,26968,41.1311111,-74.3677778,,,X,X,X
paradise,CA,26949,39.7597222,-121.6208333,,,X,X,X
paramus,NJ,26947,40.9444444,-74.0758333,,,X,X,X
westport,CT,26938,41.1413889,-73.3583333,,,X,X,X
laramie,WY,26934,41.3113889,-105.5905556,,,X,X,X
stoughton,MA,26915,42.125,-71.1027778,,,X,X,X
hilliard,OH,26893,40.0333333,-83.1583333,,,X,X,X
fort dodge,IA,26879,42.4975,-94.1677778,,,X,X,X
los altos,CA,26871,37.3852778,-122.1130556,,,X,X,X
wilmette,IL,26871,42.0722222,-87.7227778,,,X,X,X
oak ridge,FL,26836,28.4708333,-81.4247222,,,X,X,X
fridley,MN,26834,45.0861111,-93.2630556,,,X,X,X
cutler ridge,FL,26831,25.5802778,-80.3469444,,,X,X,X
wyandotte,MI,26802,42.2141667,-83.15,,,X,X,X
dennis,MA,26780,41.7352778,-70.1944444,,,X,X,X
burlingame,CA,26777,37.5841667,-122.365,,,X,X,X
oakley,CA,26774,37.9975,-121.7113889,,,X,X,X
